text,appeal_to_authority,appeal_to_fear,bandwagon,black_white_fallacy,causal_oversimplification,doubt,exaggeration,flag_waving,loaded_language,name_calling,repetition,slogans,thought_terminating_cliche,whataboutism
The next transmission could be more pronounced or stronger,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a very, very different",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",0,1,0,0,0,0,0,0,0,0,0,0,0,0
but warned that the danger was not over,0,1,0,0,0,0,0,0,0,0,0,0,0,0
the magnitude in the next transmission could be higher,0,1,0,0,0,0,0,0,0,0,0,0,0,0
it could even spill over into neighbouring countries and beyond,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stop Islamization of America,0,0,0,0,0,0,0,0,0,0,0,1,0,0
We condemn all those whose behaviours and views run counter to our shared values,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Defeat Jihad""",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"the nation that gave the world the Magna Carta is dead""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The UK should never become a stage for inflammatory speakers who promote hate.""",0,0,0,0,0,0,0,1,0,0,0,0,0,0
hate preachers,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"delighted"" with the decision",0,0,0,0,0,0,0,0,1,0,0,0,0,0
a striking blow against freedom,0,0,0,0,0,0,0,0,1,0,0,0,0,0
so-called land of democracy and freedom of speech,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hair trigger in single-action mode,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sanctuary"" policy",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",0,0,0,0,0,0,0,0,0,0,0,0,0,1
pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",0,0,0,0,1,0,0,0,0,0,0,0,0,0
Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a complete travesty of justice,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BUILD THE WALL!""",0,0,0,0,0,0,0,0,0,0,0,1,0,0
firestorm of outrage,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Kate Steinle killer,0,0,0,0,0,0,0,0,0,1,0,0,0,0
