source,source_type,sentence_index,sentence,similarity_score,threshold_used,matched_article_id,matched_propaganda_text
HuggingFace_Datasets,nonpolitical_text,23,  Research and publication  ,0.57965195,0.55,763260610,prolific journalist and publisher
HuggingFace_Datasets,nonpolitical_text,36,They looked around and saw that there was an ordinary one in the room,0.6587556,0.55,755393220,Who was in that room?
HuggingFace_Datasets,nonpolitical_text,86,i was still feeling a bit unsure a bit not convinced still a bit frustrated,0.5648227,0.55,730268758,incredibly frustrated
HuggingFace_Datasets,nonpolitical_text,119,"He has been called the radical conservative of his day  not a bad designation of a complex mind , clear sighted , cautious , perhaps at bottom pessimistic in areas where thinkers we would label  progressive  felt less difficulty in taking a stand  never content to select only one or two elements in a complicated equation in order to build a quick - order policy or program  far ranging enough in intellect to take in the whole sum of the factors , and comprehend their often contradictory effects .",0.6313228,0.55,999000136,"is a progressive who is a part of the crazy, crazy, crazies"
HuggingFace_Datasets,nonpolitical_text,121,"Between two evils, I always pick the one I never tried before.",0.55771196,0.55,780414700,"evil, evil that cries out for justice"
HuggingFace_Datasets,nonpolitical_text,265,i feel surprised and disturbed actually,0.6242043,0.55,711566593,Were just shocked  saddened and shocked
HuggingFace_Datasets,nonpolitical_text,276,It was a beautiful summer day,0.554528,0.55,783702663,a summer of devastating news
HuggingFace_Datasets,nonpolitical_text,300,"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.",0.557721,0.55,785801366,noble and courageous individuals
HuggingFace_Datasets,nonpolitical_text,486,"In the darkness, two shadows, reaching through the hopeless, heavy dusk. Their hands meet, and light spills in a flood like a hundred golden urns pouring out of the sun.",0.71163434,0.55,780414700,light in the darkness
HuggingFace_Datasets,nonpolitical_text,491,The bone was eaten by the dog.,0.58040386,0.55,795379208,body was cut up with a bone saw
HuggingFace_Datasets,nonpolitical_text,541,"Remember, darkness does not always equate to evil, just as light does not always bring good.",0.6724479,0.55,782017101,"Yet everything right is good, and everything wrong is evil"
HuggingFace_Datasets,nonpolitical_text,656,"If you want to keep a secret, you must also hide it from yourself.",0.57680595,0.55,703821117,keeping secret from the American people
HuggingFace_Datasets,nonpolitical_text,811,They were both very independent,0.62126225,0.55,786527921,But of course they were both
HuggingFace_Datasets,nonpolitical_text,814,Lucas has a dentist appointment tomorrow. He wont be in the office in the morning.,0.58114517,0.55,788900262,Why not Monday? Does she have an important dentist appointment she cant get out of
HuggingFace_Datasets,nonpolitical_text,903,"Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift.",0.55020964,0.55,780414700,light in the darkness
HuggingFace_Datasets,nonpolitical_text,969,"The flu vaccine gives you protection against the virus by causing your body to create antibodies to fight off the virus. These antibodies help you to fight off the virus if you come into contact with it, so you wont get the flu if you are immunized.",0.6152419,0.55,757843275,this years flu vaccine
