article_id,label,text_snippet
111111111,Appeal_to_Authority,The next transmission could be more pronounced or stronger
111111111,Appeal_to_Authority,"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw"
111111111,Doubt,appeared
111111111,Repetition,"a very, very different"
111111111,Appeal_to_fear-prejudice,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak"
111111111,Appeal_to_fear-prejudice,but warned that the danger was not over
111111111,Appeal_to_fear-prejudice,the magnitude in the next transmission could be higher
111111111,Appeal_to_fear-prejudice,it could even spill over into neighbouring countries and beyond
111111112,Slogans,Stop Islamization of America
111111112,Black-and-White_Fallacy,We condemn all those whose behaviours and views run counter to our shared values
111111112,Slogans,"Defeat Jihad"""
111111112,Loaded_Language,"the nation that gave the world the Magna Carta is dead"""
111111112,Flag-Waving,"The UK should never become a stage for inflammatory speakers who promote hate."""
111111112,"Name_Calling,Labeling",hate preachers
111111112,Loaded_Language,"delighted"" with the decision"
111111112,Loaded_Language,a striking blow against freedom
111111112,"Name_Calling,Labeling",so-called land of democracy and freedom of speech
111111113,Loaded_Language,hair trigger in single-action mode
111111113,"Name_Calling,Labeling","sanctuary"" policy"
111111113,"Whataboutism,Straw_Men,Red_Herring","politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents."""
111111113,Causal_Oversimplification,pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies
111111113,Causal_Oversimplification,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"""
111111113,Causal_Oversimplification,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails
111111113,Loaded_Language,a complete travesty of justice
111111113,Slogans,"BUILD THE WALL!"""
111111113,Loaded_Language,firestorm of outrage
111111113,Loaded_Language,alien
111111113,"Name_Calling,Labeling",The Kate Steinle killer
111111114,Appeal_to_fear-prejudice,they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country
111111115,Loaded_Language,"aggressively stuck his tongue in my mouth"""
111111115,Loaded_Language,"wet, open-mouthed kiss"""
111111115,Appeal_to_Authority,"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described"
111111115,Loaded_Language,"and squeezed ""at least twice"""
111111117,Causal_Oversimplification,the delay signaled the White House was having second thoughts about the nomination
111111122,Loaded_Language,Exploding in Trump’s Face
111111122,"Exaggeration,Minimisation",the biggest political gift possible
111111122,Loaded_Language,complete hash
111111122,Doubt,how badly Trump does his job
111111122,Doubt,reflected the reality-TV star’s weakness as a presidential candidate
111111122,"Name_Calling,Labeling",reality-TV star’s
111111122,Doubt,Trump is easily manipulated by those around him
111111122,Loaded_Language,cut-of-his-jib test
111111122,Loaded_Language,severe trouble
111111122,Doubt,Trump hasn’t learned it yet
111111122,"Exaggeration,Minimisation",extremely high-profile episode
111111122,Doubt,Trump and his White House staff failed to do their jobs
111111122,Loaded_Language,a slur on all women
111111122,"Name_Calling,Labeling",a gang that can’t shoot straight
111111122,Loaded_Language,ugly ways
111111122,Appeal_to_Authority,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president"
111111122,Loaded_Language,cut-of-his-jib test
111111122,Causal_Oversimplification,someone who hires based on what he thinks someone doing that job should look like
111111122,Loaded_Language,hazy old-time Hollywood casting
111111122,Loaded_Language,bombshells
111111122,"Name_Calling,Labeling","partisan, conservative judges"
111111123,Loaded_Language,hypocritical
111111124,Loaded_Language,has blasted
111111124,Loaded_Language,are blasting
111111124,"Name_Calling,Labeling",a President who cares about nothing about the country and everything about his narrow self-interest
111111124,"Exaggeration,Minimisation",sheer number
111111124,Loaded_Language,Agencies scramble
111111124,Loaded_Language,were scrambling
111111124,Loaded_Language,has hamstrung the administration for more than 18 months
111111124,"Name_Calling,Labeling",disgraced former FBI officials
111111124,"Name_Calling,Labeling",fired FBI Special Agent
111111124,Loaded_Language,are touting the president’s order
111111124,Causal_Oversimplification,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative
111111124,Loaded_Language,a red line that must not be crossed
111111124,Doubt,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest
111111124,"Name_Calling,Labeling",a partisan memo
111111124,"Name_Calling,Labeling",clear abuse of power
111111131,Loaded_Language,unprecedented
111111131,Loaded_Language,surreal
111111131,Loaded_Language,culminated
111111131,Loaded_Language,fulsome
111111131,Loaded_Language,triumphant
111111131,Loaded_Language,extraordinary
111111131,"Name_Calling,Labeling",rogue kingdom
111111131,"Name_Calling,Labeling",despotic leader
111111131,Loaded_Language,dramatic
111111131,"Exaggeration,Minimisation",forever
111111131,"Name_Calling,Labeling","Trump's gut-driven, norm-shattering tenure"
111111131,Black-and-White_Fallacy,People are going to be very impressed
111111131,Loaded_Language,unwavering
111111131,"Name_Calling,Labeling",brutal dictator
111111131,Loaded_Language,unthinkable
111111131,Loaded_Language,acrimonious
111111131,Loaded_Language,big problem
111111131,Loaded_Language,big dilemma
111111131,Slogans,"Working together, we'll get it taken care of"
111111131,Loaded_Language,increasing the drama
111111131,Loaded_Language,historic
111111131,Loaded_Language,surreality
111111131,Loaded_Language,hailed
111111131,Repetition,historic
111111131,"Name_Calling,Labeling",very talented man
111111131,Loaded_Language,brutal
111111131,Loaded_Language,praising
111111131,Repetition,very talented
111111131,Repetition,brutal dictator
111111131,Loaded_Language,striking
111111131,Loaded_Language,fierce criticism
111111131,Loaded_Language,fearsome renegade
111111131,Loaded_Language,"""absolutely"""
111111131,"Exaggeration,Minimisation",heralded a new era
111111131,Repetition,historic
111111131,"Exaggeration,Minimisation",The world
111111131,Flag-Waving,our soldiers
111111131,Repetition,our soldiers
111111131,"Name_Calling,Labeling",commanding leader
111111131,"Exaggeration,Minimisation",world-altering
111111131,"Name_Calling,Labeling",futuristic
111111131,Repetition,dictator
111111132,Loaded_Language,foundation of lies
111111132,Loaded_Language,huge
111111132,"Name_Calling,Labeling",beneficial
111111132,"Name_Calling,Labeling",a good thing
111111132,Black-and-White_Fallacy,Bypassing the class left her vulnerable to bullying
111111132,Black-and-White_Fallacy,“You don’t need to be reading this. You need to be reading the Bible.”
111111132,Appeal_to_fear-prejudice,going to hell
111111132,Loaded_Language,strongly
111111132,Loaded_Language,pretty clear
111111132,"Name_Calling,Labeling",You are not a Christian
111111132,"Whataboutism,Straw_Men,Red_Herring",(Faber was nominated by President George H.W. Bush.)
111111132,Loaded_Language,"very, very"
111111132,Loaded_Language,extremely
111111132,Slogans,liberty of conscience is not up for a vote
111111132,Black-and-White_Fallacy,If you die tonight. Heaven or Hell?
111111133,Loaded_Language,ominous encroachment
111111133,Loaded_Language,grandstanding
111111133,Black-and-White_Fallacy,behave or else
111111133,Loaded_Language,ballooned
111111133,Loaded_Language,testy
111111133,Loaded_Language,ire
111111133,Loaded_Language,insults
111111133,Loaded_Language,overly aggressive
111111133,"Name_Calling,Labeling",devoted news consumer
111111133,Loaded_Language,severe
111111133,Loaded_Language,flouts
111111134,"Name_Calling,Labeling",totally false and deliberately libelous
111111134,"Exaggeration,Minimisation",willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange
111111134,Repetition,I have never
111111134,"Name_Calling,Labeling",government-aligned cyberspies
111111135,"Bandwagon,Reductio_ad_hitlerum",Adolf Hitler as “a very great man
111111135,Repetition,condemn
111111135,Loaded_Language,filth and degenerate behavior
111111135,Causal_Oversimplification,Jews were “responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men
111111135,Loaded_Language,fervently
111111135,Loaded_Language,condemn
111111135,Appeal_to_Authority,"Edward E. Curtis IV, the author of “Black Muslim Religion in the Nation of Islam,” said that while estimates ranged wildly about how many bona fide members belonged to the Nation, he believes that there were tens of thousands of members in the 1960s and early 1970s. But he said that millions of others sympathized with the movement’s anticolonial stance and were inspired by its most famous member, Muhammad Ali"
111111135,"Name_Calling,Labeling",the white man” as “the white devil
111111135,Loaded_Language,outspokenly and flagrantly anti-Zionist
