source,source_type,threshold,total_sentences,flagged_sentences,coverage_percentage,avg_similarity,min_similarity,max_similarity
BO1,political_speech,0.55,114,5,0.043859649122807015,0.578563,0.5503551,0.63810587
BO1,political_speech,0.56,114,3,0.02631578947368421,0.5952726,0.56320924,0.63810587
BO1,political_speech,0.5700000000000001,114,2,0.017543859649122806,0.61130434,0.5845028,0.63810587
BO1,political_speech,0.5800000000000001,114,2,0.017543859649122806,0.61130434,0.5845028,0.63810587
BO1,political_speech,0.5900000000000001,114,1,0.008771929824561403,0.63810587,0.63810587,0.63810587
BO2,political_speech,0.55,88,7,0.07954545454545454,0.5902849,0.5585356,0.6378753
BO2,political_speech,0.56,88,6,0.06818181818181818,0.5955764,0.5624906,0.6378753
BO2,political_speech,0.5700000000000001,88,4,0.045454545454545456,0.6104266,0.5734307,0.6378753
BO2,political_speech,0.5800000000000001,88,3,0.03409090909090909,0.62275857,0.59802365,0.6378753
BO2,political_speech,0.5900000000000001,88,3,0.03409090909090909,0.62275857,0.59802365,0.6378753
DjT1,political_speech,0.55,82,13,0.15853658536585366,0.61220986,0.554278,0.7150191
DjT1,political_speech,0.56,82,11,0.13414634146341464,0.62237793,0.565736,0.7150191
DjT1,political_speech,0.5700000000000001,82,10,0.12195121951219512,0.6280422,0.57744795,0.7150191
DjT1,political_speech,0.5800000000000001,82,9,0.10975609756097561,0.63366383,0.5851691,0.7150191
DjT1,political_speech,0.5900000000000001,82,7,0.08536585365853659,0.6474716,0.6029828,0.7150191
DjT2,political_speech,0.55,153,25,0.16339869281045752,0.59337217,0.55197346,0.7103131
DjT2,political_speech,0.56,153,20,0.13071895424836602,0.603201,0.564414,0.7103131
DjT2,political_speech,0.5700000000000001,153,18,0.11764705882352941,0.60736257,0.5723489,0.7103131
DjT2,political_speech,0.5800000000000001,153,12,0.0784313725490196,0.6237039,0.58332026,0.7103131
DjT2,political_speech,0.5900000000000001,153,11,0.0718954248366013,0.6273752,0.5909147,0.7103131
JB,political_speech,0.55,154,20,0.12987012987012986,0.58174783,0.550955,0.6505387
JB,political_speech,0.56,154,16,0.1038961038961039,0.5883597,0.56410956,0.6505387
JB,political_speech,0.5700000000000001,154,13,0.08441558441558442,0.59389496,0.57085145,0.6505387
JB,political_speech,0.5800000000000001,154,7,0.045454545454545456,0.609716,0.58428186,0.6505387
JB,political_speech,0.5900000000000001,154,5,0.032467532467532464,0.6195972,0.5998647,0.6505387
GWB2,political_speech,0.55,100,11,0.11,0.5838972,0.55348283,0.68450457
GWB2,political_speech,0.56,100,8,0.08,0.59525645,0.57247674,0.68450457
GWB2,political_speech,0.5700000000000001,100,8,0.08,0.59525645,0.57247674,0.68450457
GWB2,political_speech,0.5800000000000001,100,5,0.05,0.6081451,0.58115894,0.68450457
GWB2,political_speech,0.5900000000000001,100,3,0.03,0.6244323,0.5942671,0.68450457
GWB1,political_speech,0.55,95,9,0.09473684210526316,0.5809589,0.5584688,0.6507463
GWB1,political_speech,0.56,95,5,0.05263157894736842,0.59857047,0.57211494,0.6507463
GWB1,political_speech,0.5700000000000001,95,5,0.05263157894736842,0.59857047,0.57211494,0.6507463
GWB1,political_speech,0.5800000000000001,95,4,0.042105263157894736,0.6051843,0.5822865,0.6507463
GWB1,political_speech,0.5900000000000001,95,3,0.031578947368421054,0.6128169,0.59214056,0.6507463
