text,appeal_to_authority,appeal_to_fear_prejudice,bandwagon_reductio_ad_hitlerum,black_and_white_fallacy,causal_oversimplification,doubt,exaggeration_minimisation,flag_waving,loaded_language,name_calling_labeling,repetition,slogans,thought_terminating_cliches,whataboutism_straw_men_red_herring,agreement_rate,n_llms_agreed,consensus_score
"They only want free speech when it normalizes racism, slavery, and white supremacy.",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Most of them are European,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
How they know it was not the russians?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
Gun control will probably not raise violence.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
How India’s Partition Created The Islamization Of UK,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Definitely democratic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"As a Syrian, I’d like to say a lot of us don’t believe this shit, also I love Kurds",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
We need *TWO THIRDS* of the house and senate y'all! VOTE!!!!!,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,2,0.143
"We are kurds , from Kurdistan, not Syrian or iraqi or irani or turkey.  Bijî Kurdistan",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,2,0.143
this is a good thing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
"So KKK and Nazis, right?",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"Democrats are extremely lib-right on immigration ""what'll happen to all the plantation workers we're exploiting?""",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Won’t happen. The “conservative” politicians have the gun lobby’s cock so far down their throats they are incapacitated.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"Trump is a side effect of the collapse of American unipolarity, which is inherently tied to the rules-based order, not the cause of it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"Wikileaks, do your thing",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
That just makes me like Francis even more.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Surname is jewish for sure.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
